Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000907475706001883,-0.000423670074537461,0.0111491466794645,0,0,0,0.488631998773489,0.0003394146450622,-5.47895747935371E-09,7.77339334748355E-06,0.000309589237715915,-3.22767709492754E-07,0.000578730084074586,0,0,0,0,0,0,package://drone_urdf/meshes/base_link.STL,0,0,0,1,0,0,0,0,0,0,package://drone_urdf/meshes/base_link.STL,,中心上板v1_压铆螺母v1-1;机臂&电机&7寸桨v1_前_长-1/单机臂_16_19_长_前v2v1-1;机臂&电机&7寸桨v1_前_长-4/单机臂_16_19_长_前v2v1-1;M2.5x60mm铝柱v1-14;M2.5x60mm铝柱v1-13;M2.5x60mm铝柱v1-12;电机座_上层碳板-1;M2.5x60mm铝柱v1-10;电机座_上层碳板-3;机械臂-1/电机座_U形钣金-2;机械臂-1/DM4310电机装配-2/关节_定子-1;通用型NX保护板v1-1;机臂&电机&7寸桨v1_前_长-1/2505.5&7寸桨v1-1/2505.5电机v1-1;机臂&电机&7寸桨v1_前_长-4/2505.5&7寸桨v1-1/2505.5电机v1-1;雷达保护装配v2v1-2/mid-360-asmv1-1;雷达斜垫-1;雷达安装板_v2v1-1;M2.5x55mm铝柱v1-9;M2.5x55mm铝柱v1-10;M2.5x25mm铝柱v1-4;M2.5x25mm铝柱v1-5;KAKUTE mini 电调v1-1;KAKUTE mini飞控v1-1;M2.5x25mm铝柱v1-6;M2.5x25mm铝柱v1-3;M2.5x55mm铝柱v1-11;M2.5x55mm铝柱v1-1;雷达保护装配v2v1-2/雷达保护_胶版_v3v1-1;机臂&电机&7寸桨v1_前_长-5/单机臂_16_19_长_前v2v1-1;中心下板v2v1-1;机臂&电机&7寸桨v1_前_长-6/单机臂_16_19_长_前v2v1-1;机臂&电机&7寸桨v1_前_长-6/2505.5&7寸桨v1-1/2505.5电机v1-1;机臂&电机&7寸桨v1_前_长-5/2505.5&7寸桨v1-1/2505.5电机v1-1,frame_3,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link_pitch,-0.0398453774314292,0.0119005506832749,-0.00382043114387848,0,0,0,0.27884808487173,0.000207610406680709,1.37728047107927E-08,-2.80793613991633E-05,0.000276261970239362,-1.34606428475476E-10,0.000276825987522781,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_pitch.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_pitch.STL,,机械臂-1/电池座_连碳板v2_21700-2;机械臂-1/机械臂_碳板_v3-7;机械臂-1/机械臂_碳板_v3-8;机械臂-1/ST-2000.17-2;机械臂-1/WJ_B00_0067-1;机械臂-1/21700_6s-2,frame_4,axis_4,arm_joint_pitch,revolute,-0.00900000000000107,-0.00959999999999346,-0.108564971157456,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
arm_link_pitch2,-0.023516938721574,4.18532853542486E-06,-0.00768194746699748,0,0,0,0.0210875044546739,6.39715585052796E-06,-2.41805257406697E-09,-1.19894052482399E-07,4.08923763224478E-06,-1.32573706392634E-09,3.22008349508992E-06,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_pitch2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_pitch2.STL,,机械臂-1/ST-2000.17-1;机械臂-1/舵机座roll_连接碳板V4-3;机械臂-1/华馨京 25-50kg舵机系列主舵盘-3D-1,frame_5,axis_5,arm_joint_pitch2,revolute,0.121750000000001,0.00854999999999909,0,0,0,0,arm_link_pitch,0,-1,0,0,0,0,0,,,,,,,,
arm_link_roll,0.0214596036747811,-4.16333634234434E-17,6.93889390390723E-16,0,0,0,0.0484341554265054,1.16041391569966E-05,-5.47837553248285E-22,-7.81037589659039E-22,1.03955470549503E-05,-1.63997385498497E-21,1.15999333554083E-05,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_roll.STL,,机械臂-1/end_line_asm-1/fake_end_line_base-1,frame_6,axis_6,arm_joint_roll,revolute,-0.0127499999999994,0,0,0,0,0,arm_link_pitch2,-1,0,0,0,0,0,0,,,,,,,,
arm_link_right_finger,0.0266572620419732,0.00731144395006261,-2.77555756156289E-17,0,0,0,0.0137580473580037,7.64772710245584E-07,5.27071645206675E-07,-1.72870352469125E-21,4.65933927709925E-06,-8.03457821129638E-22,4.43352365698545E-06,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_right_finger.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_right_finger.STL,,机械臂-1/end_line_asm-1/fake_end_line_finger-1,frame_12,axis_12,arm_joint_right_finger,prismatic,0.041,0,0,-3.14159265358979,0,0,arm_link_roll,0,1,0,0,0,0,0,,,,,,,,
arm_link_left_finger,0.0266572620419732,0.00731144395006227,1.38777878078145E-17,0,0,0,0.0137580473580037,7.64772710245591E-07,5.27071645206696E-07,-1.62476061272331E-22,4.65933927709924E-06,3.48473813235149E-23,4.43352365698545E-06,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_left_finger.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_left_finger.STL,,机械臂-1/end_line_asm-1/fake_end_line_finger-3,frame_11,axis_11,arm_link_left_finger,prismatic,0.041,0,0,0,0,0,arm_link_roll,0,-1,0,0,0,0,0,,,,,,,,
rotor_0,4.10028894379244E-07,2.175982592445E-07,0.00394569070499525,0,0,0,0.00513321535811529,4.89102637484774E-06,-9.87903196414219E-11,-2.33305509477106E-11,4.89089750229697E-06,-1.06898081652699E-11,9.751174160399E-06,0,0,0,0,0,0,package://drone_urdf/meshes/rotor_0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_urdf/meshes/rotor_0.STL,,机臂&电机&7寸桨v1_前_长-4/2505.5&7寸桨v1-1/三叶螺旋桨3.5寸-1,frame_7,axis_7,rotor_0_joint,continuous,0.123743686707645,0.123743686707643,0.0211606308991274,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rotor_1,-1.75372556490694E-07,8.4725947091524E-09,0.00390632506972198,0,0,0,0.00513323233563622,4.89095330315956E-06,2.43437422692745E-11,6.45691578496296E-12,4.89092670347586E-06,-1.632797354479E-12,9.75113033820885E-06,0,0,0,0,0,0,package://drone_urdf/meshes/rotor_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_urdf/meshes/rotor_1.STL,,机臂&电机&7寸桨v1_前_长-6/2505.5&7寸桨v1-1/三叶螺旋桨3.5寸_mirror-1,frame_8,axis_8,rotor_1_joint,continuous,-0.123743686707647,0.123743686707645,0.0212,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rotor_2,-4.10028889119562E-07,-2.17598259969615E-07,0.00390632160412273,0,0,0,0.0051332153581153,4.89102637484776E-06,-9.87903196591731E-11,2.33305509491031E-11,4.89089750229696E-06,1.06898081663707E-11,9.75117416039901E-06,0,0,0,0,0,0,package://drone_urdf/meshes/rotor_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_urdf/meshes/rotor_2.STL,,机臂&电机&7寸桨v1_前_长-5/2505.5&7寸桨v1-1/三叶螺旋桨3.5寸-1,frame_9,axis_9,rotor_2_joint,continuous,-0.123743686707646,-0.123743686707645,0.0212,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rotor_3,1.75372556088238E-07,-8.47259472996909E-09,0.00390632506972164,0,0,0,0.00513323233563622,4.89095330315957E-06,2.43437422700128E-11,-6.45691578349963E-12,4.89092670347583E-06,1.63279735632465E-12,9.75113033820883E-06,0,0,0,0,0,0,package://drone_urdf/meshes/rotor_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_urdf/meshes/rotor_3.STL,,机臂&电机&7寸桨v1_前_长-1/2505.5&7寸桨v1-1/三叶螺旋桨3.5寸_mirror-1,frame_10,axis_10,rotor_3_joint,continuous,0.123743686707646,-0.123743686707646,0.0212,0,0,0,base_link,0,0,1,,,,,,,,,,,,
